Serial_No,Date,Season,Time_of_Day,Origin,Destination,Cargo_Type,Shipping_Mode,Weather,Special_Handling,Freight_Volume,Price_per_Unit,Delivery_Status
29,2014-01-02 00:32:05.875258752,Winter,Night,West,West,FMCG,Rail,Rain,Fragile,73.45,214.91,Cancelled
30,2014-01-02 01:24:40.370803708,Winter,Night,West,Central,Pharma,Sea,Rain,Hazardous,66.87,206.28,On Time
31,2014-01-02 02:17:14.866348663,Winter,Night,East,North,Electronics,Sea,Clear,Perishable,152.27,91.34,On Time
32,2014-01-02 03:09:49.361893618,Winter,Night,West,West,Automobile,Rail,Clear,Perishable,53.58,293.15,On Time
33,2014-01-02 04:02:23.857438574,Winter,Night,West,West,Agriculture,Air,Rain,Hazardous,100.1,296.74,On Time
34,2014-01-02 04:54:58.352983529,Winter,Night,North,South,Automobile,Rail,Clear,Perishable,85.14,185.74,Delayed
35,2014-01-02 05:47:32.848528485,Winter,Morning,East,West,Pharma,Sea,Clear,None,122.99,112.91,On Time
36,2014-01-02 06:40:07.344073440,Winter,Morning,Central,South,Pharma,Rail,Clear,Fragile,70.64,223.34,On Time
37,2014-01-02 07:32:41.839618396,Winter,Morning,East,East,FMCG,Road,Clear,Fragile,73.59,268.13,On Time
38,2014-01-02 08:25:16.335163351,Winter,Morning,Central,South,Pharma,Air,Clear,Fragile,74.47,397.51,Delayed
39,2014-01-02 09:17:50.830708307,Winter,Morning,North,North,Electronics,Sea,Clear,None,151.39,91.87,On Time
40,2014-01-02 10:10:25.326253262,Winter,Morning,South,South,Pharma,Rail,Clear,Perishable,101.46,156.16,On Time
41,2014-01-02 11:02:59.821798217,Winter,Morning,West,Central,Automobile,Air,Storm,Hazardous,49.93,589.04,Delayed
42,2014-01-02 11:55:34.317343173,Winter,Morning,North,East,FMCG,Road,Clear,None,85.7,230.68,On Time
43,2014-01-02 12:48:08.812888128,Winter,Afternoon,West,South,Electronics,Air,Clear,Hazardous,120.82,246.26,On Time
44,2014-01-02 13:40:43.308433084,Winter,Afternoon,South,East,Electronics,Sea,Clear,Perishable,125.53,110.65,On Time
45,2014-01-02 14:33:17.803978039,Winter,Afternoon,South,South,Agriculture,Air,Clear,Fragile,108.48,274.02,On Time
46,2014-01-02 15:25:52.299522995,Winter,Afternoon,North,West,Electronics,Rail,Rain,Perishable,55.29,284.24,On Time
47,2014-01-02 16:18:26.795067950,Winter,Afternoon,South,West,FMCG,Road,Clear,Hazardous,92.63,213.61,Delayed
48,2014-01-02 17:11:01.290612906,Winter,Evening,Central,North,Agriculture,Sea,Fog,Perishable,94.18,147.09,Cancelled
49,2014-01-02 18:03:35.786157861,Winter,Evening,South,West,FMCG,Air,Clear,None,83.2,356.29,On Time
50,2014-01-02 18:56:10.281702817,Winter,Evening,West,Central,Agriculture,Sea,Clear,None,59.97,229.62,On Time
51,2014-01-02 19:48:44.777247772,Winter,Evening,West,West,Agriculture,Air,Clear,Perishable,72.7,407.06,On Time
52,2014-01-02 20:41:19.272792727,Winter,Evening,West,Central,Agriculture,Rail,Clear,None,82.6,191.39,On Time
53,2014-01-02 21:33:53.768337683,Winter,Night,West,South,FMCG,Road,Clear,Hazardous,69.78,282.57,On Time
54,2014-01-02 22:26:28.263882638,Winter,Night,Central,South,FMCG,Rail,Storm,None,55.31,284.14,Cancelled
55,2014-01-02 23:19:02.759427594,Winter,Night,East,Central,Agriculture,Road,Storm,None,85.46,231.32,Delayed
56,2014-01-03 00:11:37.254972549,Winter,Night,North,North,FMCG,Road,Fog,Perishable,78.51,251.54,Delayed
57,2014-01-03 01:04:11.750517505,Winter,Night,West,West,Pharma,Sea,Rain,Perishable,78.63,175.81,On Time
58,2014-01-03 01:56:46.246062460,Winter,Night,South,Central,Pharma,Sea,Clear,Hazardous,55.21,249.07,On Time
59,2014-01-03 02:49:20.741607416,Winter,Night,West,West,Automobile,Road,Clear,Perishable,106.92,185.32,On Time
60,2014-01-03 03:41:55.237152371,Winter,Night,South,East,Pharma,Sea,Clear,Hazardous,69.4,198.86,On Time
61,2014-01-03 04:34:29.732697326,Winter,Night,South,North,Agriculture,Air,Clear,Perishable,83.73,354.07,On Time
62,2014-01-03 05:27:04.228242282,Winter,Morning,West,South,Automobile,Rail,Clear,None,71.77,219.87,Delayed
63,2014-01-03 06:19:38.723787237,Winter,Morning,Central,Central,FMCG,Rail,Clear,Perishable,75.06,210.36,On Time
64,2014-01-03 07:12:13.219332193,Winter,Morning,South,East,Automobile,Air,Clear,Fragile,95.94,309.47,On Time
65,2014-01-03 08:04:47.714877148,Winter,Morning,South,Central,Agriculture,Road,Storm,None,71.87,274.46,Delayed
66,2014-01-03 08:57:22.210422104,Winter,Morning,West,Central,Agriculture,Road,Rain,Hazardous,87.65,225.61,On Time
67,2014-01-03 09:49:56.705967059,Winter,Morning,South,Central,Electronics,Sea,Rain,Perishable,117.55,118.09,On Time
68,2014-01-03 10:42:31.201512015,Winter,Morning,South,Central,Pharma,Road,Fog,Hazardous,64.03,307.55,Delayed
69,2014-01-03 11:35:05.697056970,Winter,Morning,West,South,Pharma,Road,Clear,Perishable,54.36,361.27,Delayed
70,2014-01-03 12:27:40.192601926,Winter,Afternoon,West,South,Automobile,Air,Rain,Perishable,73.28,403.88,Delayed
71,2014-01-03 13:20:14.688146881,Winter,Afternoon,North,South,Automobile,Sea,Rain,Hazardous,65.5,210.53,Delayed
72,2014-01-03 14:12:49.183691836,Winter,Afternoon,Central,North,Pharma,Sea,Fog,Hazardous,68.68,200.92,Delayed
73,2014-01-03 15:05:23.679236792,Winter,Afternoon,Central,South,Agriculture,Sea,Clear,Fragile,117.12,118.52,On Time
74,2014-01-03 15:57:58.174781747,Winter,Afternoon,South,West,FMCG,Road,Clear,Hazardous,85.28,231.8,On Time
75,2014-01-03 16:50:32.670326703,Winter,Afternoon,Central,South,Agriculture,Sea,Clear,None,106.78,129.89,On Time
76,2014-01-03 17:43:07.165871658,Winter,Evening,South,Central,FMCG,Road,Clear,None,108.64,182.42,On Time
77,2014-01-03 18:35:41.661416614,Winter,Evening,North,Central,Electronics,Sea,Fog,Hazardous,78.93,175.15,Delayed
78,2014-01-03 19:28:16.156961569,Winter,Evening,West,West,Automobile,Rail,Fog,Hazardous,84.74,186.61,Cancelled
79,2014-01-03 20:20:50.652506525,Winter,Evening,West,East,Electronics,Rail,Clear,None,90.4,175.05,On Time
80,2014-01-03 21:13:25.148051480,Winter,Night,West,Central,Agriculture,Road,Clear,Hazardous,97.11,203.85,On Time
81,2014-01-03 22:05:59.643596435,Winter,Night,Central,Central,Automobile,Rail,Fog,Hazardous,85.08,185.87,Cancelled
82,2014-01-03 22:58:34.139141391,Winter,Night,North,South,Electronics,Rail,Clear,Hazardous,146.27,108.64,On Time
83,2014-01-03 23:51:08.634686346,Winter,Night,Central,South,FMCG,Air,Clear,Perishable,91.01,326.05,Cancelled
84,2014-01-04 00:43:43.130231302,Winter,Night,Central,Central,Electronics,Road,Clear,None,132.3,150.04,On Time
85,2014-01-04 01:36:17.625776257,Winter,Night,North,West,Electronics,Air,Clear,None,128.82,231.09,Delayed
86,2014-01-04 02:28:52.121321213,Winter,Night,North,Central,Agriculture,Road,Rain,Fragile,107.97,183.54,On Time
87,2014-01-04 03:21:26.616866168,Winter,Night,North,South,Automobile,Road,Clear,Perishable,123.01,161.28,On Time
88,2014-01-04 04:14:01.112411124,Winter,Night,North,South,Automobile,Road,Fog,Hazardous,73.88,267.09,Delayed
89,2014-01-04 05:06:35.607956079,Winter,Morning,West,South,Electronics,Sea,Fog,Fragile,95.89,144.49,Delayed
90,2014-01-04 05:59:10.103501035,Winter,Morning,East,West,Electronics,Road,Clear,Hazardous,148.87,133.45,On Time
91,2014-01-04 06:51:44.599045990,Winter,Morning,East,Central,Agriculture,Rail,Fog,Fragile,100.27,157.99,Delayed
92,2014-01-04 07:44:19.094590945,Winter,Morning,North,South,FMCG,Road,Clear,None,131.11,151.39,On Time
93,2014-01-04 08:36:53.590135901,Winter,Morning,East,East,Agriculture,Road,Rain,Perishable,100.14,197.75,Delayed
94,2014-01-04 09:29:28.085680856,Winter,Morning,East,South,FMCG,Sea,Clear,Perishable,89.28,155.07,On Time
95,2014-01-04 10:22:02.581225812,Winter,Morning,North,North,Electronics,Sea,Fog,None,105.76,131.14,Delayed
96,2014-01-04 11:14:37.076770767,Winter,Morning,East,East,Electronics,Air,Rain,None,121.74,244.42,On Time
97,2014-01-04 12:07:11.572315723,Winter,Afternoon,Central,South,Automobile,Air,Rain,Fragile,70.51,419.52,On Time
98,2014-01-04 12:59:46.067860678,Winter,Afternoon,South,North,Electronics,Air,Rain,None,113.08,262.97,On Time
99,2014-01-04 13:52:20.563405634,Winter,Afternoon,South,West,Pharma,Sea,Storm,None,65.36,210.97,Delayed
100,2014-01-04 14:44:55.058950589,Winter,Afternoon,North,North,Agriculture,Rail,Rain,Perishable,93.28,169.71,On Time
101,2014-01-04 15:37:29.554495545,Winter,Afternoon,West,Central,Agriculture,Air,Clear,Fragile,121.11,245.68,On Time
102,2014-01-04 16:30:04.050040500,Winter,Afternoon,North,Central,Electronics,Rail,Clear,Hazardous,68.12,231.48,On Time
103,2014-01-04 17:22:38.545585455,Winter,Evening,West,West,FMCG,Rail,Clear,Perishable,105.16,150.72,On Time
104,2014-01-04 18:15:13.041130411,Winter,Evening,South,West,Agriculture,Air,Rain,Fragile,72.27,409.44,On Time
105,2014-01-04 19:07:47.536675366,Winter,Evening,North,West,Pharma,Road,Clear,Fragile,100.58,196.89,Delayed
106,2014-01-04 20:00:22.032220322,Winter,Evening,Central,North,Pharma,Sea,Fog,Hazardous,87.61,158.0,Delayed
107,2014-01-04 20:52:56.527765277,Winter,Evening,East,North,Agriculture,Air,Clear,Fragile,98.63,301.11,Delayed
108,2014-01-04 21:45:31.023310233,Winter,Night,West,West,Pharma,Rail,Clear,Perishable,97.12,163.07,On Time
109,2014-01-04 22:38:05.518855188,Winter,Night,East,North,Agriculture,Air,Rain,None,95.23,311.75,Delayed
110,2014-01-04 23:30:40.014400144,Winter,Night,East,Central,Agriculture,Rail,Clear,Fragile,83.98,188.28,On Time
111,2014-01-05 00:23:14.509945099,Winter,Night,North,South,Agriculture,Rail,Clear,Fragile,128.69,123.37,On Time
112,2014-01-05 01:15:49.005490054,Winter,Night,East,East,Automobile,Rail,Clear,Hazardous,84.07,188.08,Delayed
113,2014-01-05 02:08:23.501035010,Winter,Night,Central,West,Electronics,Road,Storm,Perishable,96.64,204.83,Delayed
114,2014-01-05 03:00:57.996579965,Winter,Night,East,Central,Pharma,Road,Rain,None,73.65,267.92,On Time
115,2014-01-05 03:53:32.492124921,Winter,Night,North,North,Pharma,Sea,Rain,Hazardous,75.52,182.96,Delayed
116,2014-01-05 04:46:06.987669876,Winter,Night,Central,East,Pharma,Air,Fog,None,81.87,362.01,Delayed
117,2014-01-05 05:38:41.483214832,Winter,Morning,South,West,Agriculture,Air,Fog,Fragile,66.89,441.89,Delayed
118,2014-01-05 06:31:15.978759787,Winter,Morning,East,North,Agriculture,Rail,Clear,Fragile,88.78,178.21,On Time
119,2014-01-05 07:23:50.474304743,Winter,Morning,North,North,Electronics,Rail,Clear,Fragile,76.63,206.11,Delayed
120,2014-01-05 08:16:24.969849698,Winter,Morning,South,East,Automobile,Road,Clear,Hazardous,62.96,312.7,On Time
121,2014-01-05 09:08:59.465394653,Winter,Morning,South,North,Agriculture,Air,Clear,None,92.06,322.37,Delayed
122,2014-01-05 10:01:33.960939609,Winter,Morning,West,East,Agriculture,Rail,Clear,None,121.43,130.69,On Time
123,2014-01-05 10:54:08.456484564,Winter,Morning,Central,Central,FMCG,Rail,Clear,Hazardous,85.41,185.16,On Time
124,2014-01-05 11:46:42.952029520,Winter,Morning,East,West,Pharma,Sea,Fog,Perishable,62.82,219.37,Cancelled
125,2014-01-05 12:39:17.447574475,Winter,Afternoon,North,North,Agriculture,Sea,Clear,Perishable,77.72,177.85,On Time
126,2014-01-05 13:31:51.943119431,Winter,Afternoon,West,South,Pharma,Rail,Clear,None,114.54,138.48,On Time
127,2014-01-05 14:24:26.438664386,Winter,Afternoon,Central,East,Electronics,Air,Clear,Hazardous,121.59,244.72,On Time
128,2014-01-05 15:17:00.934209342,Winter,Afternoon,West,Central,Electronics,Rail,Rain,Hazardous,80.55,196.2,On Time
129,2014-01-05 16:09:35.429754297,Winter,Afternoon,Central,South,Automobile,Air,Fog,Perishable,51.69,569.37,Delayed
130,2014-01-05 17:02:09.925299253,Winter,Evening,Central,West,Electronics,Rail,Rain,Fragile,107.35,147.67,Delayed
131,2014-01-05 17:54:44.420844208,Winter,Evening,East,Central,Automobile,Sea,Clear,Fragile,76.71,180.16,On Time
132,2014-01-05 18:47:18.916389163,Winter,Evening,Central,East,Automobile,Rail,Clear,Fragile,103.5,153.11,On Time
133,2014-01-05 19:39:53.411934119,Winter,Evening,West,Central,Automobile,Air,Clear,Hazardous,80.12,369.82,On Time
134,2014-01-05 20:32:27.907479074,Winter,Evening,Central,Central,Agriculture,Road,Storm,Hazardous,92.07,214.89,Delayed
135,2014-01-05 21:25:02.403024030,Winter,Night,East,Central,Automobile,Road,Clear,Perishable,109.55,180.91,On Time
136,2014-01-05 22:17:36.898568985,Winter,Night,East,West,FMCG,Rail,Clear,None,66.43,237.28,On Time
137,2014-01-05 23:10:11.394113941,Winter,Night,West,South,Agriculture,Air,Storm,None,66.7,443.13,Delayed
138,2014-01-06 00:02:45.889658896,Winter,Night,South,Central,FMCG,Sea,Clear,Hazardous,128.67,107.97,On Time
139,2014-01-06 00:55:20.385203852,Winter,Night,South,North,FMCG,Road,Rain,Perishable,84.26,234.58,On Time
140,2014-01-06 01:47:54.880748807,Winter,Night,Central,Central,Agriculture,Rail,Rain,Perishable,113.55,139.68,On Time
141,2014-01-06 02:40:29.376293762,Winter,Night,North,Central,Electronics,Sea,Rain,Fragile,101.5,136.59,On Time
142,2014-01-06 03:33:03.871838718,Winter,Night,Central,West,FMCG,Air,Clear,Perishable,89.79,330.43,Cancelled
143,2014-01-06 04:25:38.367383673,Winter,Night,West,West,FMCG,Sea,Clear,Perishable,86.7,159.64,Delayed
144,2014-01-06 05:18:12.862928629,Winter,Morning,West,West,Automobile,Air,Rain,None,54.09,544.56,On Time
145,2014-01-06 06:10:47.358473584,Winter,Morning,West,West,Automobile,Sea,Fog,None,70.98,194.5,Cancelled
146,2014-01-06 07:03:21.854018540,Winter,Morning,West,Central,FMCG,Sea,Clear,None,129.02,107.68,On Time
147,2014-01-06 07:55:56.349563495,Winter,Morning,West,Central,Automobile,Sea,Fog,Perishable,60.66,227.05,Cancelled
148,2014-01-06 08:48:30.845108451,Winter,Morning,East,East,Automobile,Road,Clear,None,86.25,229.23,On Time
149,2014-01-06 09:41:05.340653406,Winter,Morning,South,West,Pharma,Road,Rain,Hazardous,94.06,210.39,On Time
150,2014-01-06 10:33:39.836198362,Winter,Morning,West,East,Automobile,Air,Clear,None,94.33,314.7,On Time
151,2014-01-06 11:26:14.331743317,Winter,Morning,North,South,Electronics,Sea,Clear,None,120.05,115.65,On Time
152,2014-01-06 12:18:48.827288272,Winter,Afternoon,North,West,Electronics,Rail,Clear,None,112.07,141.51,On Time
153,2014-01-06 13:11:23.322833228,Winter,Afternoon,North,South,Automobile,Road,Rain,Perishable,81.81,241.52,On Time
154,2014-01-06 14:03:57.818378183,Winter,Afternoon,North,North,Electronics,Road,Clear,Hazardous,141.05,140.8,On Time
155,2014-01-06 14:56:32.313923139,Winter,Afternoon,East,Central,Automobile,Rail,Clear,Perishable,69.26,227.73,Cancelled
156,2014-01-06 15:49:06.809468094,Winter,Afternoon,North,Central,Agriculture,Sea,Clear,Hazardous,92.72,149.38,On Time
157,2014-01-06 16:41:41.305013050,Winter,Afternoon,West,East,Pharma,Rail,Storm,Perishable,67.58,233.3,Cancelled
158,2014-01-06 17:34:15.800558005,Winter,Evening,Central,Central,FMCG,Rail,Clear,Hazardous,110.05,144.08,On Time
159,2014-01-06 18:26:50.296102961,Winter,Evening,North,South,Pharma,Sea,Fog,None,91.75,150.94,Delayed
160,2014-01-06 19:19:24.791647916,Winter,Evening,East,Central,Automobile,Air,Clear,Perishable,104.26,285.01,On Time
161,2014-01-06 20:11:59.287192871,Winter,Evening,East,West,Automobile,Air,Clear,Perishable,89.41,331.82,On Time
162,2014-01-06 21:04:33.782737827,Winter,Night,North,North,Automobile,Road,Clear,Hazardous,67.3,292.83,On Time
163,2014-01-06 21:57:08.278282782,Winter,Night,Central,East,Agriculture,Road,Rain,None,90.66,218.2,On Time
164,2014-01-06 22:49:42.773827738,Winter,Night,North,East,Electronics,Road,Clear,None,130.22,152.42,On Time
165,2014-01-06 23:42:17.269372693,Winter,Night,East,East,Agriculture,Rail,Clear,None,110.01,144.13,On Time
166,2014-01-07 00:34:51.764917649,Winter,Night,South,West,Automobile,Air,Rain,Fragile,85.6,346.42,On Time
167,2014-01-07 01:27:26.260462604,Winter,Night,West,Central,Pharma,Sea,Storm,Hazardous,65.92,209.21,Delayed
168,2014-01-07 02:20:00.756007560,Winter,Night,East,West,Electronics,Air,Rain,Perishable,110.2,269.78,Delayed
169,2014-01-07 03:12:35.251552515,Winter,Night,North,South,FMCG,Air,Rain,Perishable,70.56,419.23,On Time
170,2014-01-07 04:05:09.747097471,Winter,Night,West,Central,Pharma,Sea,Clear,Hazardous,95.68,144.81,On Time
171,2014-01-07 04:57:44.242642426,Winter,Night,North,West,Automobile,Air,Clear,Perishable,66.77,442.67,On Time
172,2014-01-07 05:50:18.738187381,Winter,Morning,North,South,Agriculture,Rail,Clear,Hazardous,117.25,135.31,On Time
173,2014-01-07 06:42:53.233732337,Winter,Morning,South,South,Pharma,Road,Storm,Hazardous,44.84,436.3,Delayed
174,2014-01-07 07:35:27.729277292,Winter,Morning,West,West,Agriculture,Air,Clear,Fragile,122.51,242.9,On Time
175,2014-01-07 08:28:02.224822248,Winter,Morning,West,West,Agriculture,Sea,Fog,Fragile,82.44,167.79,Cancelled
176,2014-01-07 09:20:36.720367203,Winter,Morning,South,North,FMCG,Road,Clear,Perishable,85.84,230.31,On Time
177,2014-01-07 10:13:11.215912159,Winter,Morning,East,West,Electronics,Road,Fog,Hazardous,94.69,209.01,Delayed
178,2014-01-07 11:05:45.711457114,Winter,Morning,North,East,FMCG,Sea,Storm,None,69.13,199.63,Delayed
179,2014-01-07 11:58:20.207002070,Winter,Morning,Central,Central,Electronics,Sea,Clear,None,100.85,137.46,On Time
180,2014-01-07 12:50:54.702547025,Winter,Afternoon,North,South,Pharma,Air,Storm,None,60.33,489.16,Cancelled
181,2014-01-07 13:43:29.198091981,Winter,Afternoon,North,East,Electronics,Sea,Clear,None,124.82,111.27,On Time
182,2014-01-07 14:36:03.693636936,Winter,Afternoon,East,East,Pharma,Sea,Rain,Hazardous,69.5,198.58,On Time
183,2014-01-07 15:28:38.189181891,Winter,Afternoon,North,South,Automobile,Road,Rain,Fragile,70.54,279.56,Delayed
184,2014-01-07 16:21:12.684726847,Winter,Afternoon,South,Central,Agriculture,Road,Storm,None,88.53,223.39,Cancelled
185,2014-01-07 17:13:47.180271802,Winter,Evening,South,North,Automobile,Sea,Clear,None,56.75,242.42,On Time
186,2014-01-07 18:06:21.675816758,Winter,Evening,West,North,FMCG,Sea,Fog,Perishable,90.79,152.52,Delayed
187,2014-01-07 18:58:56.171361713,Winter,Evening,Central,East,Electronics,Rail,Clear,Fragile,135.73,117.02,On Time
188,2014-01-07 19:51:30.666906669,Winter,Evening,North,East,Electronics,Sea,Clear,None,144.32,96.34,On Time
189,2014-01-07 20:44:05.162451624,Winter,Evening,North,West,FMCG,Rail,Clear,None,101.75,155.72,On Time
190,2014-01-07 21:36:39.657996580,Winter,Night,East,North,Agriculture,Sea,Rain,Hazardous,78.87,175.28,Delayed
191,2014-01-07 22:29:14.153541535,Winter,Night,South,North,Automobile,Road,Clear,Hazardous,97.37,203.31,On Time
192,2014-01-07 23:21:48.649086490,Winter,Night,Central,Central,Automobile,Sea,Clear,None,61.5,224.0,On Time
193,2014-01-08 00:14:23.144631446,Winter,Night,West,West,Agriculture,Sea,Rain,Perishable,62.75,219.61,Delayed
194,2014-01-08 01:06:57.640176401,Winter,Night,South,South,Agriculture,Road,Rain,Perishable,108.75,182.23,On Time
195,2014-01-08 01:59:32.135721357,Winter,Night,West,South,Automobile,Road,Rain,None,57.75,340.43,On Time
196,2014-01-08 02:52:06.631266312,Winter,Night,East,Central,Automobile,Road,Clear,Fragile,69.07,285.43,On Time
197,2014-01-08 03:44:41.126811268,Winter,Night,East,South,Agriculture,Sea,Clear,Hazardous,128.16,108.39,Delayed
198,2014-01-08 04:37:15.622356223,Winter,Night,North,North,Electronics,Sea,Clear,Fragile,136.19,102.05,Delayed
199,2014-01-08 05:29:50.117901179,Winter,Morning,Central,East,Electronics,Road,Clear,Perishable,166.5,119.4,On Time
200,2014-01-08 06:22:24.613446134,Winter,Morning,West,West,Electronics,Sea,Clear,None,107.67,128.83,Cancelled
201,2014-01-08 07:14:59.108991090,Winter,Morning,South,South,Electronics,Road,Rain,None,99.05,199.9,On Time
202,2014-01-08 08:07:33.604536045,Winter,Morning,East,South,FMCG,Rail,Clear,None,94.73,167.14,On Time
203,2014-01-08 09:00:08.100081000,Winter,Morning,North,South,Automobile,Road,Storm,Fragile,60.53,325.04,Delayed
204,2014-01-08 09:52:42.595625956,Winter,Morning,North,South,Electronics,Air,Clear,Hazardous,139.51,213.51,On Time
205,2014-01-08 10:45:17.091170911,Winter,Morning,West,East,FMCG,Air,Clear,Perishable,104.44,284.52,On Time
206,2014-01-08 11:37:51.586715867,Winter,Morning,East,East,FMCG,Road,Clear,Fragile,114.16,173.67,On Time
207,2014-01-08 12:30:26.082260822,Winter,Afternoon,Central,Central,FMCG,Road,Fog,Fragile,96.7,204.71,Delayed
208,2014-01-08 13:23:00.577805778,Winter,Afternoon,East,North,Agriculture,Sea,Clear,Hazardous,94.22,147.03,Delayed
209,2014-01-08 14:15:35.073350733,Winter,Afternoon,West,South,Automobile,Sea,Clear,Fragile,84.85,163.08,Cancelled
210,2014-01-08 15:08:09.568895689,Winter,Afternoon,West,Central,Agriculture,Air,Storm,Fragile,92.1,322.23,Delayed
211,2014-01-08 16:00:44.064440644,Winter,Afternoon,East,North,Automobile,Air,Rain,Hazardous,74.76,395.99,On Time
212,2014-01-08 16:53:18.559985599,Winter,Afternoon,West,East,Automobile,Rail,Clear,Fragile,115.16,137.74,On Time
213,2014-01-08 17:45:53.055530555,Winter,Evening,East,South,Agriculture,Rail,Fog,None,74.76,211.19,Delayed
214,2014-01-08 18:38:27.551075510,Winter,Evening,South,East,Electronics,Rail,Fog,Perishable,89.96,175.9,Delayed
215,2014-01-08 19:31:02.046620466,Winter,Evening,East,South,FMCG,Road,Fog,Fragile,61.04,322.37,Delayed
216,2014-01-08 20:23:36.542165421,Winter,Evening,East,East,Pharma,Air,Clear,Fragile,90.7,327.15,On Time
217,2014-01-08 21:16:11.037710377,Winter,Night,West,Central,Agriculture,Air,Clear,Hazardous,121.08,245.74,On Time
218,2014-01-08 22:08:45.533255332,Winter,Night,West,Central,FMCG,Road,Clear,Fragile,59.89,328.46,Delayed
219,2014-01-08 23:01:20.028800288,Winter,Night,North,East,FMCG,Rail,Rain,None,69.56,226.76,Delayed
220,2014-01-08 23:53:54.524345243,Winter,Night,North,East,Electronics,Sea,Rain,Fragile,79.63,173.63,Delayed
221,2014-01-09 00:46:29.019890198,Winter,Night,South,West,Automobile,Road,Clear,Hazardous,69.44,283.93,Delayed
222,2014-01-09 01:39:03.515435154,Winter,Night,North,South,Pharma,Air,Rain,Fragile,93.61,317.09,On Time
223,2014-01-09 02:31:38.010980109,Winter,Night,East,West,FMCG,Air,Clear,None,87.45,339.17,Delayed
224,2014-01-09 03:24:12.506525065,Winter,Night,West,East,Electronics,Air,Rain,Fragile,88.9,333.7,On Time
225,2014-01-09 04:16:47.002070020,Winter,Night,North,Central,FMCG,Rail,Fog,Fragile,74.18,212.82,Delayed
226,2014-01-09 05:09:21.497614976,Winter,Morning,North,South,Pharma,Rail,Clear,Hazardous,115.18,137.72,Delayed
